Date Time,Open,High,Low,Close,Volume,Adj Close
2010-01-04 00:00:00,11.33,11.35,11.11,11.12,62998.05,11.12
2010-01-05 00:00:00,11.12,11.18,10.66,10.80,131299.46,10.80
2010-01-06 00:00:00,10.79,11.04,10.72,10.83,138360.30,10.83
2010-01-07 00:00:00,10.85,10.96,10.60,10.74,102246.20,10.74
2010-01-08 00:00:00,10.70,11.00,10.65,11.00,89757.37,11.00
2010-01-11 00:00:00,11.18,11.18,10.67,10.71,90467.25,10.71
2010-01-12 00:00:00,10.87,11.18,10.78,11.18,269058.46,11.18
2010-01-13 00:00:00,10.92,11.05,10.80,10.82,131979.86,10.82
2010-01-14 00:00:00,10.90,10.93,10.67,10.88,151667.31,10.88
2010-01-15 00:00:00,10.95,11.27,10.92,11.09,163025.05,11.09
2010-01-18 00:00:00,11.02,11.28,10.96,11.24,119338.46,11.24
2010-01-19 00:00:00,11.31,11.34,11.09,11.17,100400.20,11.17
2010-01-20 00:00:00,11.25,11.27,10.66,10.69,155251.77,10.69
2010-01-21 00:00:00,10.80,10.99,10.66,10.88,73027.95,10.88
2010-01-22 00:00:00,10.68,10.85,10.21,10.46,109124.74,10.46
2010-01-25 00:00:00,10.44,10.48,10.26,10.27,52419.48,10.27
2010-01-26 00:00:00,10.30,10.34,9.76,9.85,67568.14,9.85
2010-01-27 00:00:00,9.90,10.08,9.75,9.91,55267.38,9.91
2010-01-28 00:00:00,9.95,10.07,9.83,10.01,53230.70,10.01
2010-01-29 00:00:00,9.95,10.17,9.85,9.96,56173.54,9.96
2010-02-01 00:00:00,9.98,10.40,9.76,10.28,104481.05,10.28
2010-02-02 00:00:00,10.32,10.43,10.15,10.17,87133.45,10.17
2010-02-03 00:00:00,10.21,10.40,9.81,10.35,67421.93,10.35
2010-02-04 00:00:00,10.28,10.80,10.17,10.44,131975.38,10.44
2010-02-05 00:00:00,10.24,10.26,9.95,10.04,75387.97,10.04
2010-02-08 00:00:00,10.14,10.14,9.94,9.99,38463.87,9.99
2010-02-09 00:00:00,9.99,10.05,9.87,9.92,45784.57,9.92
2010-02-10 00:00:00,10.00,10.06,9.90,10.06,38559.31,10.06
2010-02-11 00:00:00,10.08,10.17,10.03,10.13,53561.15,10.13
2010-02-12 00:00:00,10.18,10.19,10.08,10.14,41413.85,10.14
2010-02-22 00:00:00,10.14,10.14,9.95,9.98,46611.52,9.98
2010-02-23 00:00:00,9.97,9.98,9.75,9.92,39797.32,9.92
2010-02-24 00:00:00,9.80,10.12,9.80,10.11,54574.92,10.11
2010-02-26 00:00:00,10.39,10.62,10.36,10.38,194842.39,10.38
2010-03-01 00:00:00,10.19,10.40,10.18,10.39,98658.22,10.39
