,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000421.SZ,20221230,4.86,4.91,4.83,4.89,4.83,0.06,1.2422,46546.14,22716.942
1,000421.SZ,20221229,4.89,4.92,4.79,4.83,4.86,-0.03,-0.6173,45388.0,21990.786
2,000421.SZ,20221228,4.95,4.95,4.84,4.86,4.95,-0.09,-1.8182,58478.0,28579.389
3,000421.SZ,20221227,4.93,4.97,4.9,4.95,4.92,0.03,0.6098,59716.71,29448.114
4,000421.SZ,20221226,4.93,4.94,4.88,4.92,4.87,0.05,1.0267,51419.14,25273.107
5,000421.SZ,20221223,4.94,4.95,4.81,4.87,4.91,-0.04,-0.8147,82267.0,40109.26
6,000421.SZ,20221222,5.03,5.09,4.88,4.91,5.01,-0.1,-1.996,103433.0,51394.061
7,000421.SZ,20221221,5.08,5.14,5.01,5.01,5.12,-0.11,-2.1484,97198.86,49022.576
8,000421.SZ,20221220,5.11,5.18,5.08,5.12,5.13,-0.01,-0.1949,65905.24,33795.687
9,000421.SZ,20221219,5.26,5.28,5.09,5.13,5.26,-0.13,-2.4715,115415.0,59382.61
10,000421.SZ,20221216,5.34,5.37,5.23,5.26,5.35,-0.09,-1.6822,103331.0,54572.16
11,000421.SZ,20221215,5.42,5.42,5.33,5.35,5.48,-0.13,-2.3723,119077.08,63752.373
12,000421.SZ,20221214,5.33,5.48,5.29,5.48,5.33,0.15,2.8143,192024.08,103750.269
13,000421.SZ,20221213,5.34,5.41,5.29,5.33,5.36,-0.03,-0.5597,109052.0,58278.631
14,000421.SZ,20221212,5.45,5.48,5.34,5.36,5.47,-0.11,-2.011,127942.0,68846.649
15,000421.SZ,20221209,5.5,5.5,5.36,5.47,5.62,-0.15,-2.669,241923.24,131129.828
16,000421.SZ,20221208,5.5,5.72,5.45,5.62,5.47,0.15,2.7422,344032.0,192656.469
17,000421.SZ,20221207,5.5,5.52,5.37,5.47,5.53,-0.06,-1.085,212542.34,115344.292
18,000421.SZ,20221206,5.66,5.66,5.46,5.53,5.66,-0.13,-2.2968,238520.0,131324.204
19,000421.SZ,20221205,5.71,5.8,5.61,5.66,5.83,-0.17,-2.916,340368.36,192311.011
20,000421.SZ,20221202,5.65,5.94,5.65,5.83,5.81,0.02,0.3442,483184.98,280800.591
21,000421.SZ,20221201,6.12,6.28,5.67,5.81,5.9,-0.09,-1.5254,821266.1,488653.622
22,000421.SZ,20221130,5.42,5.9,5.36,5.9,5.36,0.54,10.0746,445755.51,254785.588
